127.0.0.1 - - [02/Dec/2019:15:25:29 -0600] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:25:33 -0600] "GET /qeb_selenium_lesson/ HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:26:44 -0600] "GET /qeb_selenium_lesson/ HTTP/1.1" 200 3291
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:26:47 -0600] "GET /qeb_selenium_lesson/successPage HTTP/1.1" 200 2176
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:26:52 -0600] "GET /qeb_selenium_lesson/bookstore HTTP/1.1" 200 4216
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:26:56 -0600] "POST /qeb_selenium_lesson/addToCart HTTP/1.1" 200 4307
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:26:58 -0600] "POST /qeb_selenium_lesson/addToCart HTTP/1.1" 200 4393
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:26:58 -0600] "POST /qeb_selenium_lesson/addToCart HTTP/1.1" 200 4479
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:26:59 -0600] "POST /qeb_selenium_lesson/addToCart HTTP/1.1" 200 4565
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:27:01 -0600] "POST /qeb_selenium_lesson/addToCart HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:27:03 -0600] "POST /qeb_selenium_lesson/addToCart HTTP/1.1" 200 4717
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:27:05 -0600] "POST /qeb_selenium_lesson/clearShoppingCart HTTP/1.1" 200 4219
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:27:07 -0600] "POST /qeb_selenium_lesson/addToCart HTTP/1.1" 200 4311
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:27:08 -0600] "POST /qeb_selenium_lesson/addToCart HTTP/1.1" 200 4387
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:27:08 -0600] "POST /qeb_selenium_lesson/addToCart HTTP/1.1" 200 4473
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:27:09 -0600] "POST /qeb_selenium_lesson/addToCart HTTP/1.1" 200 4559
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:27:12 -0600] "POST /qeb_selenium_lesson/placeOrder HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2019:15:27:12 -0600] "GET /qeb_selenium_lesson/orderPlaced HTTP/1.1" 200 1862
